iter	Passed	Remaining
0	179	179448
1	184	92042
2	188	62767
3	194	48334
4	198	39574
5	203	33745
6	208	29569
7	213	26483
8	217	23974
9	222	21981
10	227	20411
11	231	19079
12	235	17916
13	240	16966
14	245	16137
15	250	15387
16	254	14707
17	259	14142
18	263	13612
19	267	13121
20	271	12672
21	276	12297
22	281	11938
23	285	11596
24	289	11282
25	294	11014
26	298	10767
27	302	10512
28	307	10301
29	312	10092
30	316	9888
31	320	9695
32	325	9549
33	330	9389
34	335	9240
35	341	9140
36	346	9023
37	351	8897
38	358	8826
39	364	8757
40	371	8678
41	376	8583
42	381	8483
43	387	8429
44	392	8339
45	398	8267
46	404	8201
47	409	8124
48	414	8042
49	419	7975
50	425	7909
51	430	7855
52	436	7794
53	441	7728
54	446	7665
55	451	7613
56	456	7551
57	461	7493
58	467	7456
59	473	7414
60	478	7371
61	484	7336
62	490	7296
63	495	7244
64	501	7213
65	506	7170
66	511	7126
67	517	7096
68	523	7056
69	528	7015
70	534	6991
71	539	6954
72	544	6910
73	550	6883
74	555	6853
75	560	6813
76	566	6787
77	571	6754
78	576	6721
79	582	6700
80	587	6666
81	592	6638
82	598	6608
83	603	6583
84	608	6553
85	614	6532
86	619	6504
87	624	6475
88	630	6455
89	636	6431
90	641	6407
91	647	6389
92	652	6364
93	657	6336
94	663	6317
95	668	6292
96	673	6269
97	679	6251
98	684	6227
99	688	6199
100	693	6177
101	699	6154
102	703	6129
103	708	6106
104	713	6084
105	718	6057
106	722	6033
107	728	6013
108	732	5988
109	737	5963
110	742	5946
111	747	5924
112	751	5902
113	756	5879
114	761	5862
115	766	5842
116	771	5824
117	777	5813
118	782	5794
119	787	5773
120	793	5760
121	797	5742
122	802	5721
123	807	5705
124	812	5686
125	816	5666
126	822	5651
127	827	5635
128	831	5617
129	837	5601
130	842	5589
131	847	5572
132	865	5642
133	870	5623
134	874	5606
135	879	5589
136	884	5573
137	890	5561
138	895	5545
139	899	5528
140	904	5513
141	909	5497
142	914	5481
143	920	5471
144	926	5462
145	931	5450
146	937	5440
147	942	5426
148	947	5412
149	953	5402
150	958	5390
151	963	5377
152	970	5371
153	975	5360
154	980	5347
155	986	5338
156	991	5326
157	997	5313
158	1003	5309
159	1012	5316
160	1020	5316
161	1025	5302
162	1030	5290
163	1035	5279
164	1040	5264
165	1044	5248
166	1050	5238
167	1055	5225
168	1059	5209
169	1063	5193
170	1068	5179
171	1073	5168
172	1078	5154
173	1082	5140
174	1087	5128
175	1092	5114
176	1097	5101
177	1101	5088
178	1106	5075
179	1111	5061
180	1116	5050
181	1122	5043
182	1127	5033
183	1132	5020
184	1137	5011
185	1142	4999
186	1147	4987
187	1152	4977
188	1157	4966
189	1161	4953
190	1167	4944
191	1171	4931
192	1177	4923
193	1182	4913
194	1187	4902
195	1192	4892
196	1198	4883
197	1203	4875
198	1208	4864
199	1213	4855
200	1219	4846
201	1224	4838
202	1229	4827
203	1235	4821
204	1240	4811
205	1245	4800
206	1251	4793
207	1256	4784
208	1261	4774
209	1266	4766
210	1272	4756
211	1277	4747
212	1282	4739
213	1287	4729
214	1292	4719
215	1297	4710
216	1302	4700
217	1307	4689
218	1312	4681
219	1317	4669
220	1321	4659
221	1326	4649
222	1331	4641
223	1336	4630
224	1341	4620
225	1347	4615
226	1352	4606
227	1357	4595
228	1363	4589
229	1368	4581
230	1373	4573
231	1379	4568
232	1384	4558
233	1390	4551
234	1396	4545
235	1401	4536
236	1406	4528
237	1412	4521
238	1417	4512
239	1421	4502
240	1427	4494
241	1432	4485
242	1437	4477
243	1442	4470
244	1448	4462
245	1453	4453
246	1458	4445
247	1463	4437
248	1468	4428
249	1472	4418
250	1477	4408
251	1482	4399
252	1487	4390
253	1491	4381
254	1497	4374
255	1502	4367
256	1507	4357
257	1512	4350
258	1517	4341
259	1522	4333
260	1528	4327
261	1533	4318
262	1538	4310
263	1543	4302
