iter	RMSE
0	1.017806566
1	1.008091103
2	0.998664575
3	0.9940284564
4	0.9857050517
5	0.9817883038
6	0.9747051467
7	0.9714530247
8	0.9654864303
9	0.9604058549
10	0.956094412
11	0.9483670527
12	0.9417861732
13	0.9380285269
14	0.9357035655
15	0.9320660251
16	0.9286357354
17	0.9270010561
18	0.9252323808
19	0.922624692
20	0.9170606571
21	0.9148403278
22	0.9101046721
23	0.9061048059
24	0.9026098404
25	0.9005330836
26	0.8978916031
27	0.8953312453
28	0.893838873
29	0.8922346646
30	0.8908607755
31	0.8900490795
32	0.889326671
33	0.8886937319
34	0.8880049147
35	0.8878040073
36	0.8869060631
37	0.8847490034
38	0.8836367506
39	0.8828836811
40	0.8827053422
41	0.880790347
42	0.8792306506
43	0.8778232226
44	0.8769696914
45	0.8762548498
46	0.8750023174
47	0.8745146694
48	0.8734734602
49	0.8714319581
50	0.8701360901
51	0.8697248502
52	0.8686870525
53	0.8677701637
54	0.8673893514
55	0.8668125303
56	0.8666097004
57	0.8652099298
58	0.8640267545
59	0.8637193564
60	0.8634365863
61	0.8629517263
62	0.8626561569
63	0.8622595738
64	0.8610596459
65	0.8607495903
66	0.8596904394
67	0.8590713474
68	0.8588708678
69	0.8581881159
70	0.8579010705
71	0.8576297581
72	0.8572948851
73	0.8566164343
74	0.8563863022
75	0.8559464541
76	0.8547553424
77	0.854492031
78	0.8542106258
79	0.8533106282
80	0.8530262103
81	0.8524770546
82	0.8523137666
83	0.8519403774
84	0.8515188257
85	0.8514103204
86	0.8510916758
87	0.8508785319
88	0.8499885662
89	0.8495164141
90	0.8492106812
91	0.848471018
92	0.8480511117
93	0.8478261315
94	0.8476078214
95	0.847376907
96	0.8465348428
97	0.8462703855
98	0.8460561598
99	0.8456276841
100	0.8454158217
101	0.8450945386
102	0.8448479255
103	0.8443336524
104	0.8439038475
105	0.8436085553
106	0.8433771307
107	0.8432017621
108	0.8425886378
109	0.8420834176
110	0.8415469848
111	0.8414270048
112	0.8412535796
113	0.8411180194
114	0.8401849735
115	0.840038364
116	0.8398691025
117	0.8393095745
118	0.8390003135
119	0.8386749101
120	0.8384458969
121	0.8382875216
122	0.8380535439
123	0.8377497117
124	0.8375334054
125	0.8371635978
126	0.8369715027
127	0.8365440117
128	0.8362524336
129	0.8359374938
130	0.8356394696
131	0.8354403978
132	0.8347498332
133	0.8344730282
134	0.8339545662
135	0.8336387142
136	0.8333471498
137	0.8328657601
138	0.8323652841
139	0.831937726
140	0.8314405253
141	0.8312488611
142	0.8310202277
143	0.8308341748
144	0.8304674568
145	0.830339754
146	0.8301623099
147	0.8293183229
148	0.8291660804
149	0.8282514277
150	0.8280024007
151	0.8277516453
152	0.827024935
153	0.8268524713
154	0.826677554
155	0.826466224
156	0.8262470283
157	0.8261163181
158	0.8259903891
159	0.8257209005
160	0.8255514062
161	0.8252207376
162	0.8250175976
163	0.8243433663
164	0.8241011415
165	0.8238705625
166	0.8237074451
167	0.82360689
168	0.8233778027
169	0.823200666
170	0.822561951
171	0.82236692
172	0.8217071257
173	0.8214434595
174	0.8213085045
175	0.8211062187
176	0.82095381
177	0.8207273561
178	0.8205619919
179	0.8201410908
180	0.8195080092
181	0.8187516386
182	0.8184721701
183	0.8178791214
184	0.8175151497
185	0.8169173346
186	0.8167411439
187	0.8164696432
